fold,feature,feature_group,std_coef,mean_abs_shap,mean_shap,perm_mae_increase,n_val
1,wind_deg_sin_seville_lag_24,historical_weather,-0.12725829286106188,0.11805942421308113,-0.04741384791956909,-0.0023964359105308475,2980
1,wind_deg_sin_valencia_lag_168,historical_weather,-0.10461628028872953,0.0846079878434195,0.012262367956735038,0.006649664123553833,2980
1,wind_deg_sin_valencia_lag_24,historical_weather,-0.00494381054109116,0.003987949966548006,0.0008458951687133386,0.00022361932982839505,2980
1,wind_speed_barcelona_lag_168,historical_weather,0.7909837854263437,0.7010553242667765,-0.4385464140048365,0.012054838978008853,2980
1,wind_speed_barcelona_lag_24,historical_weather,2.153698820126649,1.9331583880993988,-1.2262044889144679,0.4258731654785537,2980
1,wind_speed_bilbao_lag_168,historical_weather,0.3739431912452176,0.26542731287043625,-0.06709497551598015,0.0220591013102327,2980
1,wind_speed_bilbao_lag_24,historical_weather,2.2222157616734406,1.64615187672501,-0.3156947389835066,0.5444827804092576,2980
1,wind_speed_madrid_lag_168,historical_weather,0.6840201789354319,0.47862247178870454,-0.30896199271950875,-0.006874282829802958,2980
1,wind_speed_madrid_lag_24,historical_weather,2.8796296409231714,2.0474454599469025,-1.2988572910408993,0.4735238190631543,2980
1,wind_speed_national_mean_lag_168,weather_aggregate,-2.475447050939928,1.8742340869626986,1.2634174922919925,0.3367219586514931,2980
1,wind_speed_national_mean_lag_24,weather_aggregate,-8.250803633446289,6.280518153630044,4.1616416100811495,2.5783388290636653,2980
1,wind_speed_seville_lag_168,historical_weather,0.7282994147590455,0.5345733138619934,-0.14059945397095358,0.05471583025940063,2980
1,wind_speed_seville_lag_24,historical_weather,2.298038301374401,1.671958190663463,-0.5058447141031805,0.38069421459894137,2980
1,wind_speed_valencia_lag_168,historical_weather,0.9610380929560246,0.5635266053879414,-0.2852468815891295,0.0650598152432531,2980
1,wind_speed_valencia_lag_24,historical_weather,3.1469464826205686,1.8647615980703922,-0.8881258344587653,0.5929789638113849,2980
2,clouds_all_barcelona_lag_168,historical_weather,2.531343604741675,2.3719274035283817,-0.08084919485013074,0.7692638373887295,2980
2,clouds_all_barcelona_lag_24,historical_weather,7.177464422525134,6.650750440747631,-0.2701637585228253,4.777447254426948,2980
2,clouds_all_bilbao_lag_168,historical_weather,3.6253958185979918,3.2695039240243218,-0.6195610291787317,1.148770213757338,2980
2,clouds_all_bilbao_lag_24,historical_weather,9.412695887633701,8.410646640872223,-2.105454122773347,5.946584524579939,2980
2,clouds_all_madrid_lag_168,historical_weather,2.987614797051116,2.441349452158505,-0.040058571495425244,0.8806895085334121,2980
2,clouds_all_madrid_lag_24,historical_weather,8.204071478178081,6.746822808070165,-0.010041966288227821,5.039506768294044,2980
2,clouds_all_national_mean_lag_168,weather_aggregate,-9.334502242857498,7.712930571590312,0.7595168080880158,6.152823595374572,2980
2,clouds_all_national_mean_lag_24,weather_aggregate,-23.748122841906575,19.919263817270803,2.161786053438405,20.95358703033565,2980
2,clouds_all_seville_lag_168,historical_weather,2.7473630180115376,2.247954814946374,0.19007434934567596,0.7174375555700481,2980
2,clouds_all_seville_lag_24,historical_weather,7.29002072653337,5.972971286191777,0.6011009617450394,4.232573110642371,2980
