rank_mean_abs_shap,feature,feature_group,mean_abs_shap,std_abs_shap,mean_shap,mean_std_coef,std_std_coef,mean_abs_std_coef,direction,n_folds_pos_coef,n_folds_neg_coef,mean_perm_mae_increase,std_perm_mae_increase
38,wind_speed_madrid_lag_24,historical_weather,2.6320259103380925,0.5365510781441508,-0.25187540178287265,3.3292530716955318,0.5167228109601864,3.3292530716955318,+,4,0,1.1968106502184954,0.5506710529755188
39,renewable_share_lag_24,historical_generation,2.5811516112020656,0.512621017800184,-0.7457998273955311,3.1343841260557723,0.3414426909959019,3.1343841260557723,+,4,0,0.9316347500501194,0.6238842803937621
40,generation_nuclear_lag_24,historical_generation,2.5493578113104425,0.364102272655389,0.02898887070039366,-2.877224588917603,0.17297135611875564,2.877224588917603,-,0,4,1.0110016965003046,0.3658439924638483
41,wind_speed_valencia_lag_24,historical_weather,2.5191065116038986,0.6572936421306197,0.03182560826137362,3.846325739767762,0.7919850324820554,3.846325739767762,+,4,0,1.2140008137268983,0.6386313397182143
42,clouds_all_seville_lag_168,historical_weather,2.46582513571299,0.6764389288220999,-0.24519104953752646,3.2818729541749057,0.8590111235601755,3.2818729541749057,+,4,0,1.0701727743389189,0.7779738009693873
43,wind_speed_barcelona_lag_24,historical_weather,2.374983323220634,0.4783358803132886,-1.0254786613701,2.7535717455863593,0.608865170151209,2.7535717455863593,+,4,0,0.850022127991537,0.375461174522419
44,clouds_all_valencia_lag_168,historical_weather,2.357067623664823,0.44639099750892175,-0.15673434939191971,3.5295673078347733,0.8453583613748581,3.5295673078347733,+,4,0,1.0049965302072776,0.4654834984672633
45,humidity_seville_lag_24,historical_weather,2.350820625844796,0.4723716976906915,-0.013541540235133792,-2.6644855078725986,0.23629101165767097,2.6644855078725986,-,0,4,0.6165735413156845,0.30534098173160257
46,wind_speed_seville_lag_24,historical_weather,2.290111928883818,0.5136792723804763,-0.09294781698384763,2.7094700913636376,0.4769125128570259,2.7094700913636376,+,4,0,0.9032308414534607,0.48393256643346855
47,day_of_year_sin,calendar,2.20255079865069,1.0290682833251503,0.393665817843442,1.7685295823953324,1.8975533484520228,2.3256258779553356,+,3,1,0.7660271260382925,1.0209255785479214
48,wind_speed_bilbao_lag_24,historical_weather,2.1781981219669078,0.4491015270717837,0.2821998863517011,2.7028498014812983,0.5293879661191221,2.7028498014812983,+,4,0,1.0207607108248538,0.46698361171194686
49,fossil_generation_lag_24,historical_generation,2.153031498515582,1.1083289151921234,-0.5638830822380269,-2.553575033610978,1.4476023370791955,2.553575033610978,-,0,4,0.7635451492460883,0.7613159537632168
50,humidity_national_mean_lag_168,weather_aggregate,2.1489152140457426,0.5133561691611662,-0.114135727841566,2.3182079791044594,0.6966593428171239,2.3182079791044594,+,4,0,0.6443636706520475,0.30156159717653047
51,generation_fossil_gas_lag_168,historical_generation,2.090986150470082,0.5459507018402763,-1.0275918304674128,-2.0566025418157388,0.5382864716076781,2.0566025418157388,-,0,4,0.9828395916240085,0.5708516756104404
52,humidity_madrid_lag_24,historical_weather,1.811845383876601,0.6004905833062181,0.13348813362059894,-1.9683113153902068,0.476091216703187,1.9683113153902068,-,0,4,0.28384422307342594,0.21948621059433007
53,generation_biomass_lag_24,historical_generation,1.752238438013732,0.45848770171897074,1.7447138710944552,-1.9475771484756308,0.07556878571704685,1.9475771484756308,-,0,4,0.1421060653974675,0.04777442171410224
54,fraction_high_price_last_30d,diğer,1.6998522398601605,0.48432584247953564,0.38613198366093304,2.524810300969391,0.5701879219150289,2.524810300969391,+,4,0,0.30280853753967096,0.083841686674445
55,humidity_valencia_lag_24,historical_weather,1.6208368119082317,0.102440770790441,-0.04553005051770338,-1.939804945239223,0.23870161576897142,1.939804945239223,-,0,4,0.45047297352003457,0.1892711845751249
56,week_of_year,calendar,1.5767681934042574,0.5487144330737236,-0.1839767635595778,-1.6396028997282701,0.15377509299743822,1.6396028997282701,-,0,4,0.31021137298049517,0.27508117152837147
57,temp_seville_lag_24,historical_weather,1.4901279960746137,0.20229306716894008,0.32553642862822435,-1.9162787708276192,0.2588136965613464,1.9162787708276192,-,0,4,0.31227143185586326,0.12084113665265182
58,forecast_solar_day_ahead,day_ahead_forecast,1.4410273374370748,0.7158510132614979,-0.010798639174044597,-1.6601602105106603,0.8114465451804953,1.6601602105106603,-,0,4,0.46664603686082096,0.30451147795826045
59,generation_fossil_hard_coal_lag_168,historical_generation,1.4259587823775874,0.4168687051228823,0.2536043033366976,-1.94475425437754,0.3942178227839981,1.94475425437754,-,0,4,0.4179087084581532,0.30206339867513615
60,total_load_actual_lag_168,historical_load,1.3445182242448517,0.24190452050010489,-0.10254066062844362,-1.5591304193260336,0.28209990467639817,1.5591304193260336,-,0,4,0.3059742331239028,0.029068999786095923
61,generation_other_renewable_lag_168,historical_generation,1.2498725055864055,0.3952800404656467,-1.2268420047819864,-0.7795750564732244,0.14021609408222743,0.7795750564732244,-,0,4,-0.005344604358355376,0.03823701112220821
62,price_max_lag24_lag48_lag168,historical_target,1.2439188351698909,0.5643956981149796,-0.727576826724625,-1.634333613302498,0.6634260127439798,1.634333613302498,-,0,4,0.2362602823296669,0.22662875985929443
63,forecast_solar_share_of_load,day_ahead_forecast,1.2210185012788457,0.6055924864409264,0.1185466878867487,-1.458516657946051,0.7638575892314757,1.458516657946051,-,0,4,0.3687669895653638,0.2794485386086836
64,humidity_barcelona_lag_24,historical_weather,1.1649333443848537,0.21386269577358472,0.08453508203290505,-1.2032361909115041,0.2448195585310194,1.2032361909115041,-,0,4,0.2526985852354342,0.11409850032245814
65,quarter,calendar,1.1531307435310514,0.7600935741338896,-0.09759709323304178,-0.9880303954891376,0.5448464420304899,0.9880303954891376,-,0,4,0.11358909265386496,0.11457558817756743
66,fraction_high_price_last_14d,diğer,1.1413316497981802,0.3463751514796466,-0.15561590007362902,-1.4744615414390976,0.4920336354803686,1.4744615414390976,-,0,4,0.11126822947054116,0.1266470609441254
67,humidity_bilbao_lag_24,historical_weather,1.0851194067800725,0.11830563722006354,-0.0686084357848578,-1.3325988443269707,0.19332971422221265,1.3325988443269707,-,0,4,0.21939885553472127,0.09266019740881662
68,wind_speed_valencia_lag_168,historical_weather,1.0827717656106368,0.4681472432669218,0.06197015932879915,1.631228225255841,0.5990470360070361,1.631228225255841,+,4,0,0.34265708506837456,0.346667591642918
69,wind_speed_barcelona_lag_168,historical_weather,1.0636556825199612,0.33993153917916047,-0.44493503594893646,1.2321863804175597,0.4098884487602462,1.2321863804175597,+,4,0,0.19588909878342653,0.1705467991173532
70,wind_speed_seville_lag_168,historical_weather,1.0450881453655372,0.42112826814916604,-0.023333354274998403,1.2164964711530815,0.4337577232023288,1.2164964711530815,+,4,0,0.26774235917596667,0.2241684631989661
71,temp_madrid_lag_168,historical_weather,0.9544044465846957,0.2951909164258691,-0.2357400534892929,1.1799108434981431,0.48013845642849495,1.1799108434981431,+,4,0,0.011249495228948136,0.07143458974620259
72,wind_speed_madrid_lag_168,historical_weather,0.9164582763569882,0.3735090801845733,-0.05205690956565485,1.1425470554448447,0.40586097548108563,1.1425470554448447,+,4,0,0.20587060890561504,0.2463019277717943
73,fossil_generation_lag_168,historical_generation,0.8951310754422943,0.44348466944441345,-0.22671089499967295,-1.0449158172665614,0.5614588691120503,1.0449158172665614,-,0,4,0.2068306746154449,0.1808312406463696
74,fraction_high_price_last_7d,diğer,0.8910785919628936,0.17197452677282016,0.1635055326505539,1.0035139860271955,0.19501909633259548,1.0035139860271955,+,4,0,0.1411471491172802,0.1268365240452627
75,humidity_seville_lag_168,historical_weather,0.807284056975099,0.14727746951590542,-0.0015046717195880688,-0.9206245496647987,0.14461589197477742,0.9206245496647987,-,0,4,0.06319048102095981,0.06055644134185293
76,price_std_lag24_lag48_lag168,historical_target,0.7837032089471785,0.12380171608721126,-0.08410816872706112,0.9177293318767703,0.1444100433272734,0.9177293318767703,+,4,0,0.15086676971098623,0.16728729435129733
77,generation_nuclear_lag_168,historical_generation,0.7524402893387393,0.13010627947451803,0.009992161200821074,-0.8490861781805429,0.11360460233808362,0.8490861781805429,-,0,4,0.09901727385888259,0.039601436929194274
78,generation_hydro_run_of_river_and_poundage_lag_168,historical_generation,0.7522761644268225,0.42595032848499076,0.09582675793298188,-0.7929402403575174,0.2874650337509218,0.7929402403575174,-,0,4,0.0385181484563053,0.12534547186576392
79,temp_national_mean_lag_24,weather_aggregate,0.7335453104856926,0.23255459312585244,0.4286194129428158,-0.1864836721295765,0.8738323159074506,0.8625360743154407,0,2,2,0.08103076478488425,0.08132608787340563
80,wind_speed_bilbao_lag_168,historical_weather,0.7296144889239913,0.38118838060459836,0.12540410433872035,0.8967720596799773,0.4668587250935905,0.8967720596799773,+,4,0,0.1892446661175906,0.22225142924939928
81,forecast_wind_onshore_day_ahead,day_ahead_forecast,0.7083927003618797,0.42746799569327837,0.01754881315660839,0.8961854724914753,0.48747511589137055,0.8961854724914753,+,4,0,0.20918849911519533,0.1620549096646804
82,day_of_year_cos,calendar,0.6787807322366853,0.40680044855607117,-0.040418721989824304,0.7340412156273975,0.4331291976053847,0.7340412156273975,+,4,0,0.06451780921291284,0.0713608835399653
83,month_cos,calendar,0.6550876143968924,0.4297971760957341,-0.013039444743035089,0.17558928479485522,0.8209845495228572,0.70512738147229,0,2,2,-0.026247226692013514,0.02821506844411173
84,hour_sin,calendar,0.624748937976546,0.10855108188438016,-0.0003264152262432452,-0.6979138611546054,0.12120651954138956,0.6979138611546054,-,0,4,0.0649352320069978,0.03362133226372357
85,humidity_valencia_lag_168,historical_weather,0.57449987775876,0.15386548594640956,0.0193159676536704,-0.6886112469960768,0.20107032385467893,0.6886112469960768,-,0,4,0.07896769918922142,0.04947638772146175
86,humidity_madrid_lag_168,historical_weather,0.5668041771610842,0.41517600345699673,0.11133519409573923,-0.5932374964745026,0.5020857260062249,0.6268721027455448,-,1,3,0.051317753223622864,0.0370962253626075
87,day_of_week,calendar,0.5608097419383181,0.10676525515772514,0.002167232241566398,-0.655852153913463,0.1284729353352737,0.655852153913463,-,0,4,0.014696439416777896,0.012860108999226348
88,temp_valencia_lag_168,historical_weather,0.5030149930616632,0.14212683555898833,0.01171408482268553,-0.6059270262526599,0.1663281250700482,0.6059270262526599,-,0,4,0.06849087350498739,0.07543550387505052
89,humidity_barcelona_lag_168,historical_weather,0.48779108770142376,0.13755231733269285,0.032246230206675844,-0.5121389734161328,0.17763954071808385,0.5121389734161328,-,0,4,0.048443514833675705,0.02933549333817274
90,hour_cos,calendar,0.4615532211971047,0.07357246514693677,-7.803518379835999e-05,-0.5156009742973271,0.08223974085372387,0.5156009742973271,-,0,4,0.00335263298331423,0.020567140141120124
91,generation_waste_lag_24,historical_generation,0.414312269974874,0.10543724082631435,-0.38036742307497895,-0.3939355873433601,0.12317321517348559,0.3939355873433601,-,0,4,0.011484998994184759,0.01802826478640547
92,humidity_bilbao_lag_168,historical_weather,0.37536802854229023,0.10473644269233442,-0.003204730682087426,-0.4540406624586175,0.12157507867683365,0.4540406624586175,-,0,4,0.0522379890858129,0.028594372211350628
93,temp_seville_lag_168,historical_weather,0.3669397506974829,0.1910004692584253,0.06532140714197741,-0.5167977165508305,0.30133260428697844,0.5167977165508305,-,0,4,0.04419956120896562,0.05196187377428947
94,generation_biomass_lag_168,historical_generation,0.32136564374653054,0.21028184374949072,0.2983986796743985,-0.3941736757784386,0.32573523526820564,0.41423774193299845,-,1,3,0.03693806482764428,0.03609252069196264
95,price_day_ahead_lag_168,historical_target,0.31929643362673443,0.17839557580182705,-0.17458174007184138,-0.4316766063891329,0.2787424941302941,0.4571905637832532,-,1,3,0.03224349296613549,0.0486606928522275
96,wind_deg_sin_madrid_lag_24,historical_weather,0.3166436896075469,0.09430076852103847,0.026362510191833926,0.41156413239113415,0.11962682710767136,0.41156413239113415,+,4,0,-0.01595836963502295,0.018047666299111195
97,generation_other_lag_24,historical_generation,0.31644086629090895,0.14217393309783538,0.30517161558525346,-0.3769646260011036,0.13033999138416716,0.3769646260011036,-,0,4,0.0025639502813330495,0.054416091912931445
98,temp_barcelona_lag_168,historical_weather,0.31092733787651466,0.2485451541018222,-0.07084321816288804,-0.2830993096917653,0.1988875506337245,0.29270050759634425,-,1,3,0.0017915601053617447,0.009413626137776838
99,temp_barcelona_lag_24,historical_weather,0.2941413241868522,0.20658365275491467,-0.10821195073535517,-0.19824499029386924,0.24135987477365056,0.2859169292412086,-,1,3,0.004677213553953896,0.03125429450294087
100,pressure_madrid_lag_24,historical_weather,0.2919045908548273,0.11002876650866682,-0.1280728744866165,-0.5026257819532585,0.03702925328338648,0.5026257819532585,-,0,4,0.0030801712266861347,0.020929940988994214
101,generation_other_renewable_lag_24,historical_generation,0.2686062093651268,0.11413297658648115,0.16970801596331414,0.13898829554300496,0.17697995961700663,0.1953540675053373,+,3,1,-0.0019125969115023622,0.01893314230642985
102,renewable_share_lag_168,historical_generation,0.2578241108576183,0.21273957299831384,0.12230056537845493,-0.34790130143243075,0.32585955489707724,0.35980397870067576,-,1,3,0.018040312660535074,0.03977205307925936
103,temp_madrid_lag_24,historical_weather,0.2536803674102881,0.11928105129667128,-0.18609051275305005,0.24936146976820475,0.26606566576040896,0.32055015139334675,+,3,1,-0.011680236078357664,0.03852490381574452
104,temp_national_mean_lag_168,weather_aggregate,0.24734461609735706,0.14378409517493915,0.10599910499834624,0.11481916407473206,0.2804508888656665,0.27180828178411987,+,3,1,0.0022718900536164988,0.009604139660355726
105,total_load_actual_lag_48,historical_load,0.2444232858695377,0.15178454543186443,0.009362634901638031,0.2848367939053574,0.1781390576125744,0.2848367939053574,+,4,0,0.018552135992147223,0.03508910012827388
