feature,feature_group,coefficient,abs_coefficient
wind_deg_sin_barcelona_lag_24,historical_weather,-0.12057187285333791,0.12057187285333791
rain_1h_valencia_lag_168,historical_weather,0.1111258059378536,0.1111258059378536
wind_deg_sin_bilbao_lag_168,historical_weather,-0.10748623951877156,0.10748623951877156
rain_3h_bilbao_lag_24,historical_weather,0.09011033191696288,0.09011033191696288
wind_deg_cos_bilbao_lag_24,historical_weather,0.08944700652985232,0.08944700652985232
generation_waste_lag_168,historical_generation,-0.08611486939135758,0.08611486939135758
rain_3h_valencia_lag_168,historical_weather,0.08183582152912577,0.08183582152912577
rain_3h_valencia_lag_24,historical_weather,0.08027355276456925,0.08027355276456925
rain_1h_madrid_lag_168,historical_weather,0.07829426630597669,0.07829426630597669
pressure_madrid_lag_168,historical_weather,-0.07766544489724499,0.07766544489724499
wind_deg_sin_valencia_lag_168,historical_weather,-0.07508280295659368,0.07508280295659368
wind_deg_sin_madrid_lag_168,historical_weather,0.07459252623966522,0.07459252623966522
rain_3h_bilbao_lag_168,historical_weather,0.06966754559808705,0.06966754559808705
wind_deg_cos_barcelona_lag_168,historical_weather,-0.05849188377878181,0.05849188377878181
pressure_seville_lag_168,historical_weather,0.0569705384950814,0.0569705384950814
generation_hydro_pumped_storage_consumption_lag_24,historical_generation,0.05668620232346005,0.05668620232346005
wind_deg_sin_seville_lag_24,historical_weather,-0.053235119004848175,0.053235119004848175
snow_3h_valencia_lag_24,historical_weather,0.05165012305383771,0.05165012305383771
wind_deg_cos_seville_lag_168,historical_weather,0.05132663227477668,0.05132663227477668
snow_3h_madrid_lag_24,historical_weather,-0.04917456122997854,0.04917456122997854
snow_3h_bilbao_lag_168,historical_weather,0.046316853511355636,0.046316853511355636
snow_3h_madrid_lag_168,historical_weather,-0.04166903761233938,0.04166903761233938
is_month_end,calendar,-0.038433300049620915,0.038433300049620915
wind_deg_sin_seville_lag_168,historical_weather,-0.035963633638073776,0.035963633638073776
wind_deg_cos_valencia_lag_168,historical_weather,0.035322351910218465,0.035322351910218465
wind_deg_sin_bilbao_lag_24,historical_weather,-0.03465685398802919,0.03465685398802919
pressure_barcelona_lag_168,historical_weather,0.03386526863700133,0.03386526863700133
rain_3h_madrid_lag_24,historical_weather,0.03385924168232482,0.03385924168232482
snow_3h_bilbao_lag_24,historical_weather,0.03202561228731479,0.03202561228731479
rain_3h_seville_lag_168,historical_weather,-0.027973605821672347,0.027973605821672347
rain_1h_valencia_lag_24,historical_weather,0.02652005113288963,0.02652005113288963
rain_3h_barcelona_lag_24,historical_weather,0.021832723121716597,0.021832723121716597
wind_deg_cos_valencia_lag_24,historical_weather,0.02151553079236833,0.02151553079236833
wind_deg_cos_seville_lag_24,historical_weather,-0.02031048623515266,0.02031048623515266
rain_3h_madrid_lag_168,historical_weather,0.01727765689436536,0.01727765689436536
wind_deg_sin_valencia_lag_24,historical_weather,0.016411581328758695,0.016411581328758695
total_load_actual_lag_48,historical_load,0.01604743283515432,0.01604743283515432
generation_other_lag_168,historical_generation,-0.015632678324999687,0.015632678324999687
rain_3h_seville_lag_24,historical_weather,0.015407349279563384,0.015407349279563384
rain_1h_seville_lag_24,historical_weather,0.015100136653951825,0.015100136653951825
temp_valencia_lag_24,historical_weather,0.015052848366485034,0.015052848366485034
snow_3h_valencia_lag_168,historical_weather,-0.01479057761936158,0.01479057761936158
wind_deg_cos_bilbao_lag_168,historical_weather,-0.01326674312578731,0.01326674312578731
rain_1h_madrid_lag_24,historical_weather,0.009257788400141345,0.009257788400141345
temp_barcelona_lag_24,historical_weather,-0.007590728453120434,0.007590728453120434
wind_deg_sin_barcelona_lag_168,historical_weather,-0.007053520227120774,0.007053520227120774
wind_deg_cos_madrid_lag_168,historical_weather,-0.004400391428228741,0.004400391428228741
rain_3h_barcelona_lag_168,historical_weather,-0.0027483346760619823,0.0027483346760619823
snow_3h_barcelona_lag_168,historical_weather,0.0,0.0
snow_3h_barcelona_lag_24,historical_weather,0.0,0.0
snow_3h_seville_lag_168,historical_weather,0.0,0.0
snow_3h_seville_lag_24,historical_weather,0.0,0.0
