model,family,fold,n_trees,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std,num_leaves,min_child_samples
XGB_d8_lr0.05_ss1.0,XGBoost,2,120,8.0,0.05,1.0,0.8,1.0,6.733332398766639,9.596976279011685,0.5844433908822186,13.333203330728816,-4.923602530485832,-4.923602530485832,8.237723703894572,,
XGB_d8_lr0.1_ss0.8,XGBoost,2,72,8.0,0.1,0.8,0.8,1.0,6.801752196241544,9.683940361781756,0.5768780422059065,13.448386611856947,-4.8076364395858455,-4.8076364395858455,8.406267471078475,,
XGB_d8_lr0.1_ss1.0,XGBoost,2,93,8.0,0.1,1.0,0.8,1.0,6.6059386215594,9.475208856057248,0.594921741341955,13.091109911195936,-4.619553568884831,-4.619553568884831,8.272805309573597,,
LGBM_nl15_lr0.05_ss0.8,LightGBM,2,125,,0.05,0.8,0.8,,6.544956034277764,9.282784476417428,0.6112074935792309,13.051672005476409,-4.459388250466087,-4.459388250466087,8.141495198501403,15.0,20.0
LGBM_nl15_lr0.05_ss1.0,LightGBM,2,220,,0.05,1.0,0.8,,6.33281408712995,8.566086854044105,0.668925068271232,12.953417324503535,-4.519030925535363,-4.519030925535363,7.277101310623774,15.0,20.0
LGBM_nl15_lr0.1_ss0.8,LightGBM,2,77,,0.1,0.8,0.8,,6.6140928648823305,9.013496291690512,0.6334375961239473,13.416663625465342,-4.630878738203349,-4.630878738203349,7.732921667285577,15.0,20.0
LGBM_nl15_lr0.1_ss1.0,LightGBM,2,87,,0.1,1.0,0.8,,6.40152927596389,8.846288215460039,0.6469115425381662,12.859851400251202,-4.426757006256758,-4.426757006256758,7.659023279671102,15.0,20.0
LGBM_nl31_lr0.05_ss0.8,LightGBM,2,235,,0.05,0.8,0.8,,6.35510024556278,8.798484642344993,0.6507172708637525,12.842101120933421,-4.7518017011258875,-4.7518017011258875,7.4049789057604904,31.0,20.0
LGBM_nl31_lr0.05_ss1.0,LightGBM,2,183,,0.05,1.0,0.8,,6.403776741718672,8.797142928881822,0.6508237895717035,12.960172159533714,-4.630067794168846,-4.630067794168846,7.480120048005641,31.0,20.0
LGBM_nl31_lr0.1_ss0.8,LightGBM,2,127,,0.1,0.8,0.8,,6.418353273635099,8.889072246671251,0.643487942100387,12.88013611206198,-4.31178017937782,-4.31178017937782,7.77329769732677,31.0,20.0
LGBM_nl31_lr0.1_ss1.0,LightGBM,2,66,,0.1,1.0,0.8,,6.4560763727286385,9.033660142566852,0.6317957078134662,12.837387668841366,-4.542586524308875,-4.542586524308875,7.808452038692968,31.0,20.0
LGBM_nl63_lr0.05_ss0.8,LightGBM,2,149,,0.05,0.8,0.8,,6.430492142063873,9.00204005829419,0.6343688120615862,12.792675641283843,-4.580428879160126,-4.580428879160126,7.74960621542083,63.0,20.0
LGBM_nl63_lr0.05_ss1.0,LightGBM,2,173,,0.05,1.0,0.8,,6.575248329921864,9.070741957120145,0.6287666573020276,13.186177507317426,-4.726596443687914,-4.726596443687914,7.741940694113883,63.0,20.0
LGBM_nl63_lr0.1_ss0.8,LightGBM,2,102,,0.1,0.8,0.8,,6.385760272449195,8.977926917426393,0.6363249704851729,12.744060290188106,-4.731970041152118,-4.731970041152118,7.629654727724459,63.0,20.0
LGBM_nl63_lr0.1_ss1.0,LightGBM,2,58,,0.1,1.0,0.8,,6.649774670043782,9.349767441040115,0.6055763311273905,13.136467825566495,-4.822274325523979,-4.822274325523979,8.010232301932703,63.0,20.0
XGB_d4_lr0.05_ss0.8,XGBoost,3,67,4.0,0.05,0.8,0.8,1.0,4.584975131603344,5.969074329062093,0.44000653649131527,8.848482329614646,0.7777184044071112,0.7777184044071112,5.918192496811382,,
XGB_d4_lr0.05_ss1.0,XGBoost,3,77,4.0,0.05,1.0,0.8,1.0,4.458138359604726,5.832995450953359,0.4652481947211733,8.625337511520955,0.6394946942718107,0.6394946942718107,5.797834291081523,,
XGB_d4_lr0.1_ss0.8,XGBoost,3,35,4.0,0.1,0.8,0.8,1.0,4.533968065217692,5.9453486633978265,0.44444937374351356,8.751309023323643,0.7492407826727889,0.7492407826727889,5.897949557172067,,
XGB_d4_lr0.1_ss1.0,XGBoost,3,45,4.0,0.1,1.0,0.8,1.0,4.498916396582859,5.836754759463991,0.4645586879873006,8.732121186710758,0.7194180130726618,0.7194180130726618,5.79224860003368,,
XGB_d6_lr0.05_ss0.8,XGBoost,3,60,6.0,0.05,0.8,0.8,1.0,4.125777639230999,5.578773468024445,0.5108450671557795,7.995565365940534,0.01738915244751602,0.01738915244751602,5.578746366784445,,
XGB_d6_lr0.05_ss1.0,XGBoost,3,55,6.0,0.05,1.0,0.8,1.0,4.2243521518956815,5.687873977899176,0.4915258079772674,8.172303504298092,0.14282963801054144,0.14282963801054144,5.686080379573294,,
XGB_d6_lr0.1_ss0.8,XGBoost,3,29,6.0,0.1,0.8,0.8,1.0,4.292578155072253,5.762645476502677,0.4780693655405083,8.347243512089456,0.09462985865744285,0.09462985865744285,5.761868453696877,,
XGB_d6_lr0.1_ss1.0,XGBoost,3,20,6.0,0.1,1.0,0.8,1.0,4.305550361154705,5.972672635122226,0.4393311770916324,8.298657471147918,-0.03132280471939955,-0.03132280471939955,5.972590500632232,,
XGB_d8_lr0.05_ss0.8,XGBoost,3,68,8.0,0.05,0.8,0.8,1.0,4.247287209557832,5.726659504564374,0.48456760900574125,8.243115357744266,-0.1377341016624165,-0.1377341016624165,5.7250029168950425,,
XGB_d8_lr0.05_ss1.0,XGBoost,3,65,8.0,0.05,1.0,0.8,1.0,4.119484404698589,5.63388333924819,0.5011331066027798,7.990063417427892,-0.21633557027556344,-0.21633557027556344,5.6297282706443195,,
XGB_d8_lr0.1_ss0.8,XGBoost,3,36,8.0,0.1,0.8,0.8,1.0,4.292826035329057,5.733280720792641,0.4833750246524193,8.345259391899548,-0.19769523827912047,-0.19769523827912047,5.729871239057153,,
XGB_d8_lr0.1_ss1.0,XGBoost,3,57,8.0,0.1,1.0,0.8,1.0,4.119557521721534,5.471940377678955,0.5294002444523163,8.08028484010583,-0.24292511681189105,-0.24292511681189105,5.466545425082941,,
LGBM_nl15_lr0.05_ss0.8,LightGBM,3,75,,0.05,0.8,0.8,,4.286906008366861,5.71825367653851,0.4860796445031853,8.298115321790336,0.25512495090282833,0.25512495090282833,5.71255952867653,15.0,20.0
LGBM_nl15_lr0.05_ss1.0,LightGBM,3,95,,0.05,1.0,0.8,,4.295137311284816,5.683857892717161,0.4922435998070972,8.356328576414095,0.2073972472499996,0.2073972472499996,5.680072792353659,15.0,20.0
LGBM_nl15_lr0.1_ss0.8,LightGBM,3,42,,0.1,0.8,0.8,,4.293361633379071,5.663876929532539,0.4958072460188615,8.363820267438118,0.10040828401266115,0.10040828401266115,5.662986848774468,15.0,20.0
LGBM_nl15_lr0.1_ss1.0,LightGBM,3,36,,0.1,1.0,0.8,,4.243592047922424,5.708195556215629,0.4878859745454407,8.248150290831969,-0.07985440988810615,-0.07985440988810615,5.7076369699921585,15.0,20.0
LGBM_nl31_lr0.05_ss0.8,LightGBM,3,75,,0.05,0.8,0.8,,4.181763730092273,5.5824700786232295,0.5101966040482578,8.13738492879852,0.04394811432925761,0.04394811432925761,5.5822970847107865,31.0,20.0
LGBM_nl31_lr0.05_ss1.0,LightGBM,3,79,,0.05,1.0,0.8,,4.180143612074475,5.579912495434108,0.5106453036208362,8.150212948944466,0.10328315018065697,0.10328315018065697,5.578956537524778,31.0,20.0
LGBM_nl31_lr0.1_ss0.8,LightGBM,3,34,,0.1,0.8,0.8,,4.2358439407608595,5.679015726852538,0.49310836225473353,8.176628663805662,0.189670286813144,0.189670286813144,5.675847496906402,31.0,20.0
LGBM_nl31_lr0.1_ss1.0,LightGBM,3,25,,0.1,1.0,0.8,,4.212588509020704,5.7230633600146525,0.48521475325915564,8.128178581974481,0.045755633605513754,0.045755633605513754,5.722880449977578,31.0,20.0
LGBM_nl63_lr0.05_ss0.8,LightGBM,3,64,,0.05,0.8,0.8,,4.170230732517279,5.634278210462322,0.5010631743491848,8.093024281226736,-0.19071418290409853,-0.19071418290409853,5.631049551667054,63.0,20.0
LGBM_nl63_lr0.05_ss1.0,LightGBM,3,92,,0.05,1.0,0.8,,4.211456105890278,5.678690347547894,0.49316644532111664,8.20795181673514,-0.14608450028260933,-0.14608450028260933,5.676811022229893,63.0,20.0
LGBM_nl63_lr0.1_ss0.8,LightGBM,3,56,,0.1,0.8,0.8,,4.221421763287495,5.5758486511223735,0.5113578370632432,8.273822365904271,-0.19435740113456915,-0.19435740113456915,5.572460262832514,63.0,20.0
LGBM_nl63_lr0.1_ss1.0,LightGBM,3,20,,0.1,1.0,0.8,,4.15897710292993,5.7721303599048746,0.476349834027323,7.992395394551269,-0.16482810058013153,-0.16482810058013153,5.769776476519235,63.0,20.0
XGB_d4_lr0.05_ss0.8,XGBoost,4,24,4.0,0.05,0.8,0.8,1.0,7.8425634913195745,9.935672236552907,0.4631075533948248,17.205827678755185,-4.556399390545892,-4.556399390545892,8.829315227470433,,
XGB_d4_lr0.05_ss1.0,XGBoost,4,23,4.0,0.05,1.0,0.8,1.0,7.887725445050318,9.978364385572725,0.4584837421209964,17.265831486334843,-4.534630712129349,-4.534630712129349,8.888468941042627,,
