fold,feature,coefficient,abs_coefficient
1,wind_deg_cos_seville_lag_24,-0.09091081404924477,0.09091081404924477
1,pressure_bilbao_lag_24,0.08915165591691314,0.08915165591691314
1,rain_3h_valencia_lag_168,0.08380166407445504,0.08380166407445504
1,snow_3h_madrid_lag_24,-0.08190096035061356,0.08190096035061356
1,rain_3h_valencia_lag_24,0.08165742413234794,0.08165742413234794
1,rain_1h_bilbao_lag_24,0.08061074214167244,0.08061074214167244
1,wind_deg_cos_valencia_lag_24,-0.07633061642999359,0.07633061642999359
1,rain_1h_seville_lag_168,0.06662199413813014,0.06662199413813014
1,wind_deg_sin_barcelona_lag_168,0.06063004574576555,0.06063004574576555
1,snow_3h_valencia_lag_24,0.05907571756584675,0.05907571756584675
1,hour,-0.059016336974175215,0.059016336974175215
1,wind_deg_cos_bilbao_lag_24,-0.058562053651713665,0.058562053651713665
1,temp_bilbao_lag_24,0.05752814404348739,0.05752814404348739
1,rain_3h_seville_lag_168,-0.056383263264365456,0.056383263264365456
1,rain_1h_valencia_lag_24,-0.05280935137386226,0.05280935137386226
1,snow_3h_madrid_lag_168,-0.05192523521910595,0.05192523521910595
1,temp_national_mean_lag_168,0.049312084316482985,0.049312084316482985
1,pressure_barcelona_lag_168,0.04902873026386717,0.04902873026386717
1,snow_3h_valencia_lag_168,-0.04832861377431412,0.04832861377431412
1,rain_3h_madrid_lag_168,0.04831488239293891,0.04831488239293891
1,pressure_valencia_lag_168,-0.04805046574837479,0.04805046574837479
1,temp_barcelona_lag_24,0.04786030579069767,0.04786030579069767
1,renewable_forecast_total,0.046492811278296735,0.046492811278296735
1,rain_1h_seville_lag_24,0.04471472235833808,0.04471472235833808
1,wind_deg_sin_madrid_lag_168,0.04397899203844127,0.04397899203844127
1,wind_deg_sin_bilbao_lag_24,-0.0412003551504185,0.0412003551504185
1,wind_deg_sin_valencia_lag_24,-0.03938727109616306,0.03938727109616306
1,rain_3h_bilbao_lag_168,0.038311862095396054,0.038311862095396054
1,generation_biomass_lag_168,0.03247433256819569,0.03247433256819569
1,humidity_madrid_lag_168,0.028371860120712,0.028371860120712
1,wind_deg_sin_bilbao_lag_168,-0.026395692074910153,0.026395692074910153
1,temp_bilbao_lag_168,-0.020829748157871853,0.020829748157871853
1,rain_3h_barcelona_lag_168,-0.016914803857560175,0.016914803857560175
1,rain_1h_madrid_lag_24,0.016685270530022146,0.016685270530022146
1,wind_deg_sin_seville_lag_168,0.01593550524163526,0.01593550524163526
1,rain_3h_madrid_lag_24,0.013906022782371668,0.013906022782371668
1,is_month_end,0.012075738189517602,0.012075738189517602
1,rain_3h_barcelona_lag_24,0.011442180740300482,0.011442180740300482
1,wind_deg_cos_barcelona_lag_168,-0.010013157397634587,0.010013157397634587
1,rain_1h_madrid_lag_168,0.009746209767412133,0.009746209767412133
1,wind_deg_sin_barcelona_lag_24,-0.0020798568453731536,0.0020798568453731536
1,wind_deg_cos_valencia_lag_168,-0.001801092248243489,0.001801092248243489
1,rain_3h_seville_lag_24,0.0007710680464221273,0.0007710680464221273
1,snow_3h_barcelona_lag_24,0.0,0.0
1,snow_3h_barcelona_lag_168,0.0,0.0
1,snow_3h_seville_lag_24,0.0,0.0
1,snow_3h_seville_lag_168,0.0,0.0
2,month,257.29526196633066,257.29526196633066
2,day_of_year,-257.0031519541472,257.0031519541472
2,generation_wind_onshore_lag_24,-35.7049732269587,35.7049732269587
2,renewable_generation_lag_24,31.260955264061618,31.260955264061618
2,clouds_all_national_mean_lag_24,-25.78469967849021,25.78469967849021
2,generation_hydro_water_reservoir_lag_24,-23.038823296315904,23.038823296315904
2,day_of_month,21.537734873935253,21.537734873935253
2,price_mean_lag24_lag48,-21.316579696219172,21.316579696219172
2,generation_solar_lag_24,-17.615076283228472,17.615076283228472
2,total_generation_lag_24,16.296151399664705,16.296151399664705
2,price_day_ahead_lag_24,15.197993302564461,15.197993302564461
