fold,method,alpha,n_train,n_val,train_start,train_end,val_start,val_end,y_mean,y_std,train_residual_mean,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
3,linear_calibration,0.001,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,1.8273379911879578e-11,5.0080888173065965,6.373694108379696,0.3615139438785546,9.759451256607154,1.008408073010549,1.008408073010549,6.2934163810669
4,linear_calibration,0.001,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,1.7119045368643508e-11,5.323321052764314,6.910171997097958,0.7403008692698306,12.445679654414139,-1.1957947398894684,-1.1957947398894684,6.805920361679929
1,no_correction,0.001,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,1.6387932481986165e-12,6.282325742281426,8.1057719968313,0.6951449709448627,15.429996893735936,-2.545781626650396,-2.545781626650396,7.69561794620963
2,no_correction,0.001,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,2.9358694451286e-12,6.572840975727523,8.267299766616308,0.691618212540456,13.715558074252366,-4.85310939747261,-4.85310939747261,6.692949619357454
3,no_correction,0.001,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,1.8273379911879578e-11,5.007982491790947,6.37359120367953,0.3615345607091246,9.759241342813304,1.0082686738708075,1.0082686738708075,6.293334498730533
4,no_correction,0.001,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,1.7119045368643508e-11,5.323299578611381,6.910167869448171,0.7403011795216571,12.445649625008997,-1.1958964487851789,-1.1958964487851789,6.805898299837933
1,regime_aware,0.001,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,1.6387932481986165e-12,6.250607860006562,8.094047523587594,0.6960262391724483,15.364407279639492,-2.549116144078323,-2.549116144078323,7.682161948181888
2,regime_aware,0.001,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,2.9358694451286e-12,6.566918349591102,8.248534529088586,0.6930165626928231,13.701620388876934,-4.8734146446281565,-4.8734146446281565,6.654934378270793
3,regime_aware,0.001,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,1.8273379911879578e-11,4.967214719760138,6.361168725077072,0.3640209435701862,9.664873737569442,0.9046167182403432,0.9046167182403432,6.2965177790568285
4,regime_aware,0.001,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,1.7119045368643508e-11,5.33256790573461,6.932569164571809,0.7386146735710831,12.454765645678316,-1.2250951963528598,-1.2250951963528598,6.823463708516739
