fold,method,n_train,n_val,train_start,val_start,val_end,y_mean,method_e_weight,MAE,RMSE,sMAPE,bias,p75_mae,p75_bias,p75_n,p90_mae,p90_bias,p90_n,train_p75,train_p90
3,METHOD_B,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,,5.061111215960408,6.451975466943607,9.720026650804071,1.7640966209856852,6.950247339516353,-6.301928066583324,409,11.221725967548862,-11.075657383586806,167,56.6,64.2
4,METHOD_B,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,,5.147556168248194,6.727704795986309,12.020669735187225,-0.006065136464147029,5.046732191214351,-2.1125873014957697,2583,5.303244923658581,-2.779912675826211,1141,55.69,63.98
1,METHOD_C,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,,6.24902163784839,8.107529658066845,15.3437869209161,-2.5710493484736365,7.298458886623422,-6.887201623674261,1104,8.165484559869098,-8.029816380615724,601,55.1875,62.93
2,METHOD_C,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,,5.292739084480978,6.975009223341223,10.978283519325775,-2.4662906517982717,8.195646453784928,-7.372710602397328,789,9.186384852379364,-8.451953569472865,483,56.4975,63.769
3,METHOD_C,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,,5.226754795442293,6.524532741379218,10.056672943275071,1.921883153144541,7.030786667115711,-5.4532589955531625,409,10.99086499713912,-10.52605262211997,167,56.6,64.2
4,METHOD_C,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,,5.32066707557285,6.985054993334238,12.41523391103249,-1.74333154680814,5.690783985684506,-3.9187196665196793,2583,6.157009695874857,-4.530519669147937,1141,55.69,63.98
1,METHOD_D,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,,6.3573423469019215,8.19025162353474,15.609455338063757,-2.950481664868077,7.680341726812642,-7.2627462486926015,1104,8.720396798026831,-8.591845129234358,601,55.1875,62.93
2,METHOD_D,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,,6.106477052430629,7.870863018996516,12.467032846860091,-3.6428602510794095,10.49410814888547,-10.296015794029053,789,12.070804377228667,-11.945427083639693,483,56.4975,63.769
3,METHOD_D,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,,5.141252583354515,6.478353370493219,9.944748475188943,1.5391477945999605,7.0447970423419175,-6.144723697862536,409,11.142733387782547,-10.939690669342866,167,56.6,64.2
4,METHOD_D,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,,5.385542143082299,6.989582557527728,12.605727397094851,-1.5323287685212712,5.544575820994175,-3.463376755720278,2583,5.951348021376657,-4.082133752456637,1141,55.69,63.98
1,METHOD_E,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,1.0,6.4703735703592935,8.30406932561759,15.85458250766211,-3.120101246857104,7.921162054969078,-7.556642928513833,1104,9.022590636553948,-8.91836045617407,601,55.1875,62.93
2,METHOD_E,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,1.0,5.7149730428349015,7.339460909302308,11.759209064697545,-3.0119946600084777,9.186043496321401,-8.818368844056778,789,10.596795737851917,-10.336229784083965,483,56.4975,63.769
3,METHOD_E,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,2.0,5.052957155279353,6.408793452348998,9.760981792287678,1.5956360657562971,6.953960093645849,-5.898559914210432,409,11.101578856222153,-10.83631092832084,167,56.6,64.2
4,METHOD_E,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,1.0,5.466532414380085,7.097088145905229,12.783123323588095,-2.01206572532103,5.7602101394399385,-4.128283587831251,2583,6.224317084253906,-4.81156935659004,1141,55.69,63.98
