model,fold,n_rounds,reg_lambda,learning_rate,feature_selector,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
gblin_1e-05_eta1p0_shuffle,1,10,1e-05,1.0,shuffle,6.258318600208167,8.215662103416406,0.6868230898310305,15.499082210877283,-2.7358158757974635,-2.7358158757974635,7.746768054566179
gblin_1e-04_eta0p1_cyclic,1,15,0.0001,0.1,cyclic,6.362428940574595,8.576242459540556,0.6587295401122124,15.386181667454881,-2.8967854692983943,-2.8967854692983943,8.072209652238222
gblin_1e-04_eta0p1_shuffle,1,12,0.0001,0.1,shuffle,6.390799193036636,8.643717044184154,0.6533384456403342,15.400571449040596,-3.1259053389850076,-3.1259053389850076,8.058694692791425
gblin_1e-04_eta0p3_cyclic,1,10,0.0001,0.3,cyclic,6.3473382833676055,8.423765781509672,0.6707565356591411,15.488840574668798,-2.877614003055047,-2.877614003055047,7.917017594470457
gblin_1e-04_eta0p3_shuffle,1,10,0.0001,0.3,shuffle,6.344460056973784,8.432402304729324,0.6700810713675152,15.561373337791096,-2.9737752689163153,-2.9737752689163153,7.89063174142515
gblin_1e-04_eta1p0_cyclic,1,81,0.0001,1.0,cyclic,6.1114777341202995,8.017553184343125,0.7017446135457204,15.167572042007766,-2.0891048169578084,-2.0891048169578084,7.740594300668021
gblin_1e-04_eta1p0_shuffle,1,10,0.0001,1.0,shuffle,6.258371063836469,8.215770886922318,0.6868147962309822,15.498973282349121,-2.7361486377484043,-2.7361486377484043,7.746765899299389
gblin_1e-03_eta0p1_cyclic,1,15,0.001,0.1,cyclic,6.362475173057326,8.576549978524701,0.6587050657512816,15.385300026077827,-2.8970466132484023,-2.8970466132484023,8.072442657262917
gblin_1e-03_eta0p1_shuffle,1,12,0.001,0.1,shuffle,6.39104161528773,8.644178073755729,0.6533014649087207,15.400178891010196,-3.126031700351894,-3.126031700351894,8.059140176172292
gblin_1e-03_eta0p3_cyclic,1,10,0.001,0.3,cyclic,6.346729806111163,8.423429410727353,0.670782829284439,15.486218203407113,-2.8774556312737043,-2.8774556312737043,7.916717257017444
gblin_1e-03_eta0p3_shuffle,1,10,0.001,0.3,shuffle,6.344410932285674,8.432707099873456,0.6700572206305282,15.559796816365376,-2.9740664753889874,-2.9740664753889874,7.890847713156268
gblin_1e-03_eta1p0_cyclic,1,80,0.001,1.0,cyclic,6.116432098736533,8.025621292861338,0.7011440393970116,15.174886104716952,-2.113941435771335,-2.113941435771335,7.742212134949438
gblin_1e-03_eta1p0_shuffle,1,10,0.001,1.0,shuffle,6.258890784239609,8.216841449510696,0.6867331712169081,15.497882180012576,-2.739359719956481,-2.739359719956481,7.746766533920909
gblin_3e-03_eta0p1_cyclic,1,15,0.003,0.1,cyclic,6.362584662024607,8.577236497488103,0.658650424940542,15.383365649344949,-2.897621691342168,-2.897621691342168,8.07296565505548
gblin_3e-03_eta0p1_shuffle,1,12,0.003,0.1,shuffle,6.391558573492421,8.645184855550431,0.6532207007002091,15.39926807852775,-3.126264465530446,-3.126264465530446,8.06012975566772
gblin_3e-03_eta0p3_cyclic,1,10,0.003,0.3,cyclic,6.3453912429809565,8.422698114154157,0.670839990073998,15.480432814679304,-2.8770943678017424,-2.8770943678017424,7.91607045957396
gblin_3e-03_eta0p3_shuffle,1,10,0.003,0.3,shuffle,6.344302948197263,8.433375969168933,0.6700048774519711,15.556304387426279,-2.9746631998095734,-2.9746631998095734,7.891337597964917
gblin_3e-03_eta1p0_cyclic,1,79,0.003,1.0,cyclic,6.127412105409592,8.043563764598384,0.6998062716540795,15.189728315290068,-2.1664063791777664,-2.1664063791777664,7.746328255077886
gblin_3e-03_eta1p0_shuffle,1,10,0.003,1.0,shuffle,6.260087189815988,8.219297571679132,0.686545864061801,15.495570491918626,-2.7463474367840974,-2.7463474367840974,7.7468979810166525
gblin_1e-02_eta0p1_cyclic,1,16,0.01,0.1,cyclic,6.367458058408443,8.571101828335758,0.6591385350311554,15.40337286638455,-2.9094498243459923,-2.9094498243459923,8.062188801517467
gblin_1e-02_eta0p1_shuffle,1,12,0.01,0.1,shuffle,6.393493296482419,8.648738063213084,0.6529355865934585,15.39657777702823,-3.1270838378611825,-3.1270838378611825,8.06362305400359
gblin_1e-02_eta0p3_cyclic,1,10,0.01,0.3,cyclic,6.341096156781153,8.420460877932655,0.6710148297475789,15.461135262799097,-2.8760383783522863,-2.8760383783522863,7.9140738335600025
gblin_1e-02_eta0p3_shuffle,1,10,0.01,0.3,shuffle,6.344110312085023,8.435831146756742,0.6698127089617476,15.54456338768425,-2.9767676743636993,-2.9767676743636993,7.893168017308038
gblin_1e-02_eta1p0_cyclic,1,23,0.01,1.0,cyclic,6.124578670347822,8.077739892772142,0.6972498786825485,15.13576790461457,-2.435139648539633,-2.435139648539633,7.701946290866534
gblin_1e-02_eta1p0_shuffle,1,10,0.01,1.0,shuffle,6.264605705675663,8.228757633808396,0.6858239040550314,15.488713142342256,-2.769747750946339,-2.769747750946339,7.748609526365852
gblin_1e-06_eta0p1_cyclic,2,10,1e-06,0.1,cyclic,9.001252080904557,11.41282969299993,0.41231037431472395,18.669216485549686,-7.591529026953166,-7.591529026953166,8.52181721432397
gblin_1e-06_eta0p1_shuffle,2,11,1e-06,0.1,shuffle,8.764666651808975,11.15448336039524,0.4386156892352231,18.12189864567653,-7.166024506357693,-7.166024506357693,8.548133820408713
gblin_1e-06_eta0p3_cyclic,2,10,1e-06,0.3,cyclic,8.357492114035074,10.293751404138616,0.5219110537348859,17.64873163358155,-7.219007717708613,-7.219007717708613,7.338068243200605
gblin_1e-06_eta0p3_shuffle,2,10,1e-06,0.3,shuffle,7.79288171349596,9.790821933223034,0.5674865122728083,16.276834031586002,-6.441043004119157,-6.441043004119157,7.373815779307813
gblin_1e-06_eta1p0_cyclic,2,35,1e-06,1.0,cyclic,7.655892779420686,9.22539379612279,0.6160000407699491,16.47154057797664,-6.573440862527629,-6.573440862527629,6.4728483622276265
gblin_1e-06_eta1p0_shuffle,2,10,1e-06,1.0,shuffle,7.286491734882329,8.99094791839045,0.6352693043117088,15.574623417546176,-6.156439783134716,-6.156439783134716,6.552510485901242
gblin_1e-05_eta0p1_cyclic,2,10,1e-05,0.1,cyclic,9.001253044179622,11.41283794049632,0.412309524925055,18.669208972223736,-7.591523698537943,-7.591523698537943,8.521833006493912
gblin_1e-05_eta0p1_shuffle,2,11,1e-05,0.1,shuffle,8.764677073741119,11.154501768288945,0.4386138363638863,18.121912777070335,-7.166033481777115,-7.166033481777115,8.54815031669487
gblin_1e-05_eta0p3_cyclic,2,10,1e-05,0.3,cyclic,8.357495403251392,10.293766393811739,0.5219096613557688,17.648720210959574,-7.2190029506171305,-7.2190029506171305,7.338093960242611
gblin_1e-05_eta0p3_shuffle,2,10,1e-05,0.3,shuffle,7.79290523980928,9.790856695164589,0.5674834410219215,16.27686870386695,-6.441059712621191,-6.441059712621191,7.373847340682982
gblin_1e-05_eta1p0_cyclic,2,35,1e-05,1.0,cyclic,7.655921982976414,9.225457897784741,0.6159947043861291,16.471560459503355,-6.573469573885002,-6.573469573885002,6.472910565194531
gblin_1e-05_eta1p0_shuffle,2,10,1e-05,1.0,shuffle,7.286586511919161,8.991058472461072,0.6352603346877357,15.574793810008696,-6.156549944359184,-6.156549944359184,6.552558678701394
gblin_1e-04_eta0p1_cyclic,2,10,0.0001,0.1,cyclic,9.001258384115744,11.412920011761786,0.4123010725708436,18.669118068519893,-7.5914659129149165,-7.5914659129149165,8.52199439614481
gblin_1e-04_eta0p1_shuffle,2,11,0.0001,0.1,shuffle,8.76474500927509,11.15465122085905,0.4385987929009353,18.1219688383061,-7.166060546286155,-7.166060546286155,8.548322648682214
